taxon,growth_rate
Bacteroides,-0.01086603
Prevotella,-0.06026551
Faecalibacterium,-0.11956735
Roseburia,-0.10725254
Blautia,-0.03473274
Agathobacter,-0.07770934
Subdoligranulum,-0.10702082
Ruminococcus,-0.08726986
Ruminococcus_gnavus_group,-0.12025888
Ruminococcaceae_UCG-002,-0.13896511
Ruminococcaceae_UCG-005,-0.10722934
Ruminococcaceae_NK4A214_group,-0.16394561
Lachnospira,-0.09448779
Lachnospiraceae_NK4A136_group,0.01807579
Lachnospiraceae_UCG-001,-0.09086963
Lachnospiraceae_UCG-004,-0.02518071
Lachnoclostridium,-0.07591979
Eubacterium_hallii_group,-0.12847382
Eubacterium_eligens_group,0.10923901
Eubacterium_coprostanoligenes_group,0.00000000
Coprococcus,-0.03084534
Anaerostipes,-0.10816207
Dorea,0.00000000
Fusicatenibacter,0.00000000
Butyricicoccus,0.01437890
Christensenellaceae_R-7_group,-0.10292108
Oscillibacter,-0.12799017
Dialister,-0.02184272
Veillonella,-0.02172658
Megamonas,-0.02411435
Phascolarctobacterium,-0.02972319
Parabacteroides,-0.00954171
Alistipes,-0.06576748
Barnesiella,-0.02062576
Odoribacter,-0.02439774
Butyricimonas,-0.03612308
Bilophila,-0.02286992
Desulfovibrio,0.01995981
Sutterella,-0.03607670
Parasutterella,-0.05360302
Akkermansia,-0.09899504
Bifidobacterium,-0.01157581
Collinsella,-0.05169002
Eggerthella,-0.02904023
Enterococcus,0.07692417
Streptococcus,0.06011277
Lactobacillus,0.06985640
Enterobacter,0.05098053
Escherichia_Shigella,0.06915538
Klebsiella,0.04747978
Citrobacter,0.05708515
Clostridium_sensu_stricto_1,-0.07626147
Clostridioides,0.00000000
Peptostreptococcus,-0.04102877
Finegoldia,-0.05555433
Paraprevotella,-0.04707573
Romboutsia,-0.01288471
Turicibacter,-0.09546659
Holdemanella,-0.02299343
Intestinibacter,-0.01307522
Catenibacterium,-0.09210796
Anaerotruncus,-0.05949695
Parvimonas,0.03716782
Fusobacterium,-0.02449379
Haemophilus,0.04894515
Campylobacter,-0.08368645
Helicobacter,-0.10581381
Methanobrevibacter,-0.06744091
Anaerococcus,0.04919648
Porphyromonas,0.07341947
Alloprevotella,-0.01917730
Granulicatella,0.01042398
Actinomyces,0.01784562
Bacillus,0.08903620
Staphylococcus,0.07006459
Corynebacterium,0.05861833
Pseudomonas,0.06395634
Acinetobacter,0.03070653
Enterocloster,-0.09043837
Flavonifractor,0.00715106
Butyrivibrio,-0.06177415
Clostridiales_vadinBB60_group,-0.04050173
Family_XIII_AD3011_group,0.00050739
Monoglobus,0.00000000
Bacteroidetes_unclassified,0.00000000
Firmicutes_unclassified,-0.01784024
Lachnospiraceae_unclassified,0.00000000
Ruminococcaceae_unclassified,-0.01894199
Bacteroidales_unclassified,-0.09163843
Proteobacteria_unclassified,-0.08336730
Actinobacteria_unclassified,-0.04163630
Verrucomicrobia_unclassified,-0.08319003
Erysipelotrichaceae_UCG-003,0.00000000
Erysipelotrichaceae_UCG-006,-0.11606156
Erysipelatoclostridium,-0.07174095
Senegalimassilia,-0.06043620
Slackia,-0.01122965
Gordonibacter,0.00000000
Anaerobutyricum,-0.12513893
Coprobacter,-0.07528543
Murimonas,-0.09118822
Anaerofustis,-0.02749776
Pseudoflavonifractor,-0.09412670
Oscillospira,-0.14814468
Anaeroplasma,-0.07882145
UCG-010,0.00302997
UCG-014,-0.10879232
UCG-003,0.04351823
UCG-009,0.00000000
UCG-013,-0.15173511
UCG-007,0.00000000
Rikenellaceae_RC9_gut_group,-0.04130331
Candidatus_Saccharimonas,-0.02991902
Mitsuokella,-0.11693894
Succinivibrio,0.07697524
Succiniclasticum,0.00000000
Victivallis,0.00000000
Anaerovorax,0.00000000
Howardella,-0.08064662
Butyricimonas_group,-0.08105630
